Age,GenderN,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA,Legais,Psicodelicos,Estimulantes,Inalantes
45 - 54,1,Diploma/Profissionalizante ,UK,Branco,0.5333333333333333,0.6833333333333333,0.6833333333333333,0.6666666666666666,0.6190476190476191,0.1111111111111111,0.1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
35 - 44,0,Diploma/Profissionalizante ,UK,Negro,0.45,0.7666666666666667,0.6666666666666666,0.8666666666666667,0.7380952380952382,0.1111111111111111,0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55 - 64,1,Diploma/Profissionalizante ,UK,Branco,0.5833333333333334,0.6333333333333333,0.7666666666666667,0.65,0.5238095238095238,0.1111111111111111,0.2,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1
55 - 64,0,Diploma/Profissionalizante ,Canada,Branco,0.4666666666666667,0.75,0.7666666666666667,0.8166666666666667,1.0,0.2222222222222222,0.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
35 - 44,1,Diploma/Profissionalizante ,UK,Negro,0.35,0.8,0.7,0.85,0.880952380952381,0.2222222222222222,0.4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55 - 64,0,Diploma/Profissionalizante ,UK,Branco,0.7,0.6666666666666666,0.7666666666666667,0.7,0.6904761904761906,0.4444444444444444,0.4,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
45 - 54,1,Diploma/Profissionalizante ,UK,Branco,0.8,0.7166666666666667,0.8333333333333334,0.6333333333333333,0.7380952380952382,0.2222222222222222,0.5,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45 - 54,0,Diploma/Profissionalizante ,Canada,Branco,0.7666666666666667,0.5166666666666667,0.7333333333333333,0.6833333333333333,0.5,0.3333333333333333,0.5,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
45 - 54,0,Diploma/Profissionalizante ,UK,Branco,0.43333333333333335,0.7166666666666667,0.6833333333333333,0.8,0.7142857142857143,0.3333333333333333,0.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35 - 44,0,Diploma/Profissionalizante ,USA,Branco,0.36666666666666664,0.75,0.85,0.75,0.6904761904761906,0.3333333333333333,0.7,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
55 - 64,0,Diploma/Profissionalizante ,Canada,Branco,0.6,0.6333333333333333,0.7333333333333333,0.6333333333333333,0.6904761904761906,0.7777777777777778,0.8,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1
55 - 64,0,Diploma/Profissionalizante ,Canada,Branco,0.5333333333333333,0.6166666666666667,0.7333333333333333,0.6333333333333333,0.6904761904761906,0.6666666666666666,0.9,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1
25 - 34,0,Diploma/Profissionalizante ,UK,Branco,0.6,0.6666666666666666,0.6833333333333333,0.75,0.7380952380952382,0.1111111111111111,0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35 - 44,0,Diploma/Profissionalizante ,USA,Branco,0.9,0.43333333333333335,0.8666666666666667,0.75,0.2619047619047619,0.6666666666666666,0.2,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0
45 - 54,1,Diploma/Profissionalizante ,USA,Negro,0.43333333333333335,0.55,0.65,0.6333333333333333,0.7142857142857143,0.1111111111111111,0.4,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0
18 - 24,0,Diploma/Profissionalizante ,Canada,Branco,0.6833333333333333,0.6166666666666667,0.5833333333333334,0.8333333333333334,0.4761904761904763,0.4444444444444444,0.4,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0
45 - 54,0,Diploma/Profissionalizante ,UK,Branco,0.6166666666666667,0.65,0.6666666666666666,0.75,0.6904761904761906,0.5555555555555556,0.4,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
25 - 34,0,Diploma/Profissionalizante ,UK,Negro,0.6,0.6666666666666666,0.65,0.6666666666666666,0.7380952380952382,0.5555555555555556,0.4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35 - 44,0,Diploma/Profissionalizante ,UK,Branco,0.8333333333333334,0.5166666666666667,0.5833333333333334,0.48333333333333334,0.4523809523809524,0.5555555555555556,0.6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
35 - 44,1,Diploma/Profissionalizante ,UK,Branco,0.6333333333333333,0.65,0.7666666666666667,0.75,0.5476190476190476,0.2222222222222222,0.7,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1
18 - 24,1,Diploma/Profissionalizante ,UK,Branco,0.7166666666666667,0.6,0.9,0.6,0.5476190476190476,0.5555555555555556,0.7,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
35 - 44,1,Diploma/Profissionalizante ,Canada,Branco,0.6666666666666666,0.6166666666666667,0.85,0.75,0.7142857142857143,0.6666666666666666,0.8,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0
35 - 44,1,Diploma/Profissionalizante ,UK,Branco,0.8,0.75,0.8166666666666667,0.8666666666666667,0.28571428571428575,0.8888888888888888,0.8,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
